raw_symbol,instrument_id,date
TSLA,8299,2020-10-16
TSLA,8299,2020-10-17
TSLA,8299,2020-10-18
TSLA,8297,2020-10-19
TSLA,8298,2020-10-20
TSLA,8312,2020-10-21
TSLA,8316,2020-10-22
TSLA,8322,2020-10-23
TSLA,8322,2020-10-24
TSLA,8322,2020-10-25
TSLA,8320,2020-10-26
TSLA,8327,2020-10-27
TSLA,8338,2020-10-28
TSLA,8347,2020-10-29
TSLA,8353,2020-10-30
TSLA,8353,2020-10-31
TSLA,8353,2020-11-01
TSLA,8351,2020-11-02
TSLA,8354,2020-11-03
TSLA,8352,2020-11-04
TSLA,8356,2020-11-05
TSLA,8357,2020-11-06
TSLA,8357,2020-11-07
TSLA,8357,2020-11-08
TSLA,8358,2020-11-09
TSLA,8365,2020-11-10
TSLA,8367,2020-11-11
TSLA,8371,2020-11-12
TSLA,8380,2020-11-13
TSLA,8380,2020-11-14
TSLA,8380,2020-11-15
TSLA,8385,2020-11-16
TSLA,8389,2020-11-17
TSLA,8390,2020-11-18
TSLA,8407,2020-11-19
TSLA,8419,2020-11-20
TSLA,8419,2020-11-21
TSLA,8419,2020-11-22
TSLA,8430,2020-11-23
TSLA,8434,2020-11-24
TSLA,8442,2020-11-25
TSLA,8442,2020-11-26
TSLA,8451,2020-11-27
TSLA,8451,2020-11-28
TSLA,8451,2020-11-29
TSLA,8460,2020-11-30
TSLA,8461,2020-12-01
TSLA,8469,2020-12-02
TSLA,8479,2020-12-03
TSLA,8481,2020-12-04
TSLA,8481,2020-12-05
TSLA,8481,2020-12-06
TSLA,8484,2020-12-07
TSLA,8495,2020-12-08
TSLA,8507,2020-12-09
TSLA,8517,2020-12-10
TSLA,8532,2020-12-11
TSLA,8532,2020-12-12
TSLA,8532,2020-12-13
TSLA,8533,2020-12-14
TSLA,8541,2020-12-15
TSLA,8541,2020-12-16
TSLA,8545,2020-12-17
TSLA,8557,2020-12-18
TSLA,8557,2020-12-19
TSLA,8557,2020-12-20
TSLA,8557,2020-12-21
TSLA,8556,2020-12-22
TSLA,8562,2020-12-23
TSLA,8558,2020-12-24
TSLA,8558,2020-12-25
TSLA,8558,2020-12-26
TSLA,8558,2020-12-27
TSLA,8559,2020-12-28
TSLA,8559,2020-12-29
TSLA,8560,2020-12-30
TSLA,8561,2020-12-31
TSLA,8561,2021-01-01
TSLA,8561,2021-01-02
TSLA,8561,2021-01-03
TSLA,8573,2021-01-04
TSLA,8579,2021-01-05
TSLA,8583,2021-01-06
TSLA,8593,2021-01-07
TSLA,8610,2021-01-08
TSLA,8610,2021-01-09
TSLA,8610,2021-01-10
TSLA,8615,2021-01-11
TSLA,8627,2021-01-12
TSLA,8635,2021-01-13
TSLA,8646,2021-01-14
TSLA,8661,2021-01-15
TSLA,8661,2021-01-16
TSLA,8661,2021-01-17
TSLA,8661,2021-01-18
